,id,size
1493,127178042,
1494,134573420,
1495,139445207,
1496,139679171,
1497,139685585,
1498,139345127,
1499,136085606,
1500,139545401,
1501,140027090,
1502,137111180,
1503,135613079,
1504,127703390,
1505,139518308,
1506,132944372,
1507,86272035,
1508,139458695,
1509,135770495,
1510,139904666,
1511,137242529,
1512,137568023,
1513,134391158,
1514,86149686,
1515,139586717,
1516,139536395,
1517,132133490,
1518,137307719,
1519,135024389,
1520,138210161,
1521,138070709,
1522,139958906,
1523,137834981,
1524,139633826,
1525,139794428,
1526,139350371,
1527,139839287,
1528,139471346,
1529,138289154,
1530,139309274,
1531,139627598,
1532,139371269,
1533,139623050,
1534,139307453,
1535,138509309,
1536,139551005,
1537,139844663,
1538,138145409,
1539,139370183,
1540,139110734,
1541,138498488,
1542,138249734,
1543,139308971,
1544,139695125,
1545,134790083,
1546,139843823,
1547,139134416,
1548,139788926,
1549,138421667,
1550,139467314,
1551,135642188,
1552,139386599,
1553,139845302,
1554,139566290,
1555,139732283,
1556,137091617,
1557,139571492,
1558,135289502,
1559,139655576,
1560,139645886,
1561,139974539,
1562,119878883,
1563,138020396,
1564,138753689,
1565,140014079,
1566,139259825,
1567,135839177,
1568,86033262,
1569,136657208,
1570,139832258,
1571,139474187,
1572,133288661,
1573,139640117,
1574,139773338,
1575,136567193,
1576,139769348,
1577,130192187,
1578,139622393,
1579,139616021,
1580,137477795,
1581,139327868,
1582,139517081,
1583,139855718,
1584,135329633,
1585,139673000,
1586,139004021,
1587,139567601,
1588,139332656,
1589,139788038,
1590,139767167,
1591,139883585,
1592,139114256,
1593,139240286,
1594,139801025,
1595,138611990,
1596,139612124,
1597,139840127,
1598,135022505,
1599,138445940,
1600,139537979,
1601,138411794,
1602,139088333,
1603,139897121,
1604,139486991,
1605,139407209,
1606,139476965,
1607,139462718,
1608,139848824,
1609,134571386,
1610,138282608,
1611,138301388,
1612,139332770,
1613,140036465,
1614,138890525,
1615,139479026,
1616,139710740,
1617,139907651,
1618,140010323,
1619,139950539,
1620,139409060,
1621,138148739,
1622,139451108,
1623,139714865,
1624,139222970,
1625,140012522,
1626,139526012,
1627,139660877,
1628,139858013,
1629,139527017,
1630,138630947,
1631,139542293,
1632,137333153,
1633,139538228,
1634,135081506,
1635,139409012,
1636,131234759,
1637,135779237,
1638,137862305,
1639,139520030,
1640,139904384,
1641,138885245,
1642,138276425,
1643,135754286,
1644,86296602,
1645,140042063,
1646,139479023,
1647,139412480,
1648,139967264,
1649,140017436,
1650,139633565,
1651,139998794,
1652,136436714,
1653,133646516,
1654,139416518,
1655,139863704,
1656,134824412,
1657,139273703,
1658,139948565,
1659,139632176,
1660,86211381,
1661,139407368,
1662,137101553,
1663,133821011,
1664,140013626,
1665,139302359,
1666,136958228,
1667,139780958,
1668,139449068,
1669,139902557,
1670,123586637,
1671,139999331,
1672,139947173,
1673,139949426,
1674,139674257,
1675,139610576,
1676,133472879,
1677,137138990,
1678,139846280,
1679,140025572,
1680,140005604,
1681,139362767,
1682,139822739,
1683,139456085,
1684,139241300,
1685,137954378,
1686,139590851,
1687,139624508,
1688,138386285,
1689,128926514,
1690,140022377,
1691,139615055,
1692,139271057,
1693,139145978,
1694,133258067,
1695,136428248,
1696,138579971,
1697,86232630,
1698,139314638,
1699,138902036,
1700,136416899,
1701,139273907,
1702,139463780,
1703,139591124,
1704,139125260,
